grassRegrow,id,initialSheep,initialWolves,sheepGain,sheepRepro,trajSpecies1,trajSpecies2,trajSpecies3,withGrass,wolfGain,wolfRepro
80.0,2487,186.73376520260285,59.20633959058591,100.0,10.0,196-345-403-194-11-0-0-0-0-0-0-0-0-0-0-0-0,68-160-374-964-2010-2978-2967-2209-1163-531-222-96-30-11-6-7-4,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,100.0,10.0
80.0,2486,186.73376520260285,59.20633959058591,100.0,10.0,197-406-716-1111-1272-997-309-8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,63-96-149-232-392-670-1090-1763-2739-3938-5101-5728-5844-5480-4880-4038-3207-2345-1717-1275-833-568-354-243-155-96-53-30-21-15-8-3-5-2-2-2-4-2,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,100.0,5.0
80.0,2485,186.73376520260285,59.20633959058591,100.0,10.0,199-491-1079-2508-5834-14278,59-56-56-56-56-56,0-0-0-0-0-0,0.0,100.0,0.0
80.0,2484,186.73376520260285,59.20633959058591,100.0,5.0,189-179-39-2-0-0-0-0,68-358-1079-1683-955-242-46-8,0-0-0-0-0-0-0-0,0.0,100.0,20.0
80.0,2483,186.73376520260285,59.20633959058591,100.0,5.0,197-224-87-8-0-0-0-0-0-0-0,69-304-704-1408-1435-769-269-37-8-1-1,0-0-0-0-0-0-0-0-0-0-0,0.0,100.0,15.0
80.0,2482,186.73376520260285,59.20633959058591,100.0,5.0,192-199-154-67-8-0-0-0-0-0-0-0-0-0,63-159-364-706-1097-1342-995-482-178-56-24-10-3-4,0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,100.0,10.0
80.0,2481,186.73376520260285,59.20633959058591,100.0,5.0,196-269-303-283-160-42-4-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,61-101-174-272-407-614-888-1099-1156-1137-908-641-415-310-210-114-66-41-34-26-13-16-10-7-7-3-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,100.0,5.0
80.0,2480,186.73376520260285,59.20633959058591,100.0,5.0,193-247-329-459-609-840-1155-1612-2318-3296-4807-7215-10899-17141,59-59-59-59-59-59-59-59-59-59-59-59-59-59,0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,100.0,0.0
80.0,2479,186.73376520260285,59.20633959058591,100.0,0.0,179-100-27-3-0-0-0-0,73-336-883-902-417-80-13-3,0-0-0-0-0-0-0-0,0.0,100.0,20.0
80.0,2478,186.73376520260285,59.20633959058591,100.0,0.0,184-125-43-5-0-0-0-0-0-0,69-224-510-786-592-291-113-20-9-0,0-0-0-0-0-0-0-0-0-0,0.0,100.0,15.0
80.0,2477,186.73376520260285,59.20633959058591,100.0,0.0,184-144-62-17-4-2-0-0-0-0-0,64-167-322-429-556-522-291-149-57-23-10,0-0-0-0-0-0-0-0-0-0-0,0.0,100.0,10.0
80.0,2476,186.73376520260285,59.20633959058591,100.0,0.0,182-141-102-64-36-11-4-2-2-2-0-0-0-0-0-0-0-0-0,60-93-136-174-243-336-340-346-301-213-121-81-59-33-16-3-5-5-3,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,100.0,5.0
80.0,2475,186.73376520260285,59.20633959058591,100.0,0.0,182-156-139-120-104-90-78-65-56-51-47-41-35-31-30-27-22-19-17-16-15-12-12-11-9-8-7-6-6-5-5-3-3-2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,59-59-54-51-50-50-49-49-49-49-49-49-49-49-49-49-48-48-48-48-47-47-47-45-45-44-43-41-41-40-40-40-40-40-39-39-36-36-33-32-29-28-28-28-26-24-24-24-22-20-20-19-19-18-16-16-15-14-14-14-14-13-12-11-9-8-8-8-7-7-7-6-6-6-6-6-6-6-6-6-6-6-6-5-4-3-3-3-2-1,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,100.0,0.0
80.0,2474,186.73376520260285,59.20633959058591,100.0,20.0,216-926-720-0-0-0-0-0-0-0,68-363-2060-9157-13465-6233-1642-281-23-2,0-0-0-0-0-0-0-0-0-0,0.0,80.0,20.0
80.0,2473,186.73376520260285,59.20633959058591,100.0,20.0,215-1021-1682-69-0-0-0-0-0-0-0-0-0,67-277-1173-4731-13133-16034-10671-4802-1849-467-112-35-1,0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,80.0,15.0
80.0,2472,186.73376520260285,59.20633959058591,100.0,20.0,215-1037-3889-14146,64-136-351-913,0-0-0-0,0.0,80.0,10.0
80.0,2471,186.73376520260285,59.20633959058591,100.0,20.0,220-976-4866-25635,61-104-168-261,0-0-0-0,0.0,80.0,5.0
80.0,2470,186.73376520260285,59.20633959058591,100.0,20.0,225-1176-6352,59-59-59,0-0-0,0.0,80.0,0.0
80.0,2469,186.73376520260285,59.20633959058591,100.0,15.0,199-488-250-1-0-0-0-0-0-0,70-362-1620-5105-5004-1406-280-41-9-2,0-0-0-0-0-0-0-0-0-0,0.0,80.0,20.0
80.0,2468,186.73376520260285,59.20633959058591,100.0,15.0,216-616-765-15-0-0-0-0-0-0-0-0,72-272-940-3425-7262-6475-3078-992-291-90-26-1,0-0-0-0-0-0-0-0-0-0-0-0,0.0,80.0,15.0
80.0,2467,186.73376520260285,59.20633959058591,100.0,15.0,210-650-1654-2264-699-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,61-127-321-864-2156-5294-10767-14266-14087-10351-5967-3215-1549-770-405-161-92-31-24-13-9-4,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,80.0,10.0
80.0,2466,186.73376520260285,59.20633959058591,100.0,15.0,211-719-2050-5777-17196,62-104-165-272-433,0-0-0-0-0,0.0,80.0,5.0
80.0,2465,186.73376520260285,59.20633959058591,100.0,15.0,207-693-2375-8397,59-58-58-58,0-0-0-0,0.0,80.0,0.0
80.0,2464,186.73376520260285,59.20633959058591,100.0,10.0,197-335-87-0-0-0-0,66-414-1399-2850-1662-296-41,0-0-0-0-0-0-0,0.0,80.0,20.0
80.0,2463,186.73376520260285,59.20633959058591,100.0,10.0,201-373-320-28-0-0-0-0-0-0-0,66-244-789-1990-3087-2112-888-337-33-7-2,0-0-0-0-0-0-0-0-0-0-0,0.0,80.0,15.0
80.0,2462,186.73376520260285,59.20633959058591,100.0,10.0,206-433-643-320-12-0-0-0-0-0-0-0-0-0,65-152-359-900-2119-3635-3805-2530-1295-580-261-120-24-6,0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,80.0,10.0
80.0,2461,186.73376520260285,59.20633959058591,100.0,10.0,205-423-790-1305-1670-1234-366-15-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,66-109-156-238-411-661-1079-1727-2748-4131-5320-5907-5923-5375-4706-3695-2869-2133-1458-1067-685-462-310-208-140-100-67-41-43-39-19-24-20-14-12-2-1-1-1,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,80.0,5.0
80.0,2460,186.73376520260285,59.20633959058591,100.0,10.0,201-463-1056-2344-5458-13251,59-56-56-56-56-56,0-0-0-0-0-0,0.0,80.0,0.0
80.0,2459,186.73376520260285,59.20633959058591,100.0,5.0,191-210-64-1-0-0-0-0,71-328-942-1519-887-156-14-2,0-0-0-0-0-0-0-0,0.0,80.0,20.0
80.0,2458,186.73376520260285,59.20633959058591,100.0,5.0,188-251-170-32-1-0-0-0-0-0-0,69-171-481-978-1314-993-438-142-27-2-1,0-0-0-0-0-0-0-0-0-0-0,0.0,80.0,15.0
80.0,2457,186.73376520260285,59.20633959058591,100.0,5.0,189-208-170-79-13-1-0-0-0-0-0-0,67-172-362-614-864-947-826-448-183-72-29-2,0-0-0-0-0-0-0-0-0-0-0-0,0.0,80.0,10.0
80.0,2456,186.73376520260285,59.20633959058591,100.0,5.0,196-257-327-371-347-228-65-7-3-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,61-80-130-174-273-411-644-937-1210-1274-1177-987-676-413-277-142-91-50-32-17-19-8-6-3-1,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,80.0,5.0
80.0,2455,186.73376520260285,59.20633959058591,100.0,5.0,187-259-361-484-680-924-1264-1779-2545-3668-5530-8290-12915-20124,59-58-57-57-57-57-57-57-57-57-57-57-57-57,0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,80.0,0.0
80.0,2454,186.73376520260285,59.20633959058591,100.0,0.0,182-112-26-3-0-0-0,65-286-696-627-330-50-21,0-0-0-0-0-0-0,0.0,80.0,20.0
80.0,2453,186.73376520260285,59.20633959058591,100.0,0.0,182-123-40-11-2-0-0-0-0,68-224-412-592-421-187-71-17-3,0-0-0-0-0-0-0-0-0,0.0,80.0,15.0
80.0,2452,186.73376520260285,59.20633959058591,100.0,0.0,184-140-77-37-8-2-0-0-0-0-0-0,65-134-218-361-423-363-233-122-49-23-9-1,0-0-0-0-0-0-0-0-0-0-0-0,0.0,80.0,10.0
80.0,2451,186.73376520260285,59.20633959058591,100.0,0.0,184-145-96-54-27-14-9-3-0-0-0-0-0-0-0-0-0,66-102-151-209-229-258-248-226-177-152-82-53-29-20-12-15-3,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0.0,80.0,5.0
